Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /inventory/{id},1504,0,66,70.29700026584017,27.873200000612997,442.9130000062287,86.56316489361703,6.264542909286652,0.0,66,74,79,83,94,110,130,150,250,440,440
GET,GET /orders,4400,0,13,17.953610363591988,6.5557999987504445,1118.922499998007,9930.73340909091,18.32712021333861,0.0,13,16,18,20,26,37,69,86,450,1100,1100
GET,GET /products/{id},2951,0,72,77.66208725855807,20.546500003547408,734.8772999976063,269.9881396136903,12.29166630671869,0.0,72,81,89,93,110,120,150,160,430,730,730
POST,POST /orders,8567,0,610,642.3880317380952,52.87340000359109,2307.452300003206,396.7677133185479,35.68373610628906,0.0,610,720,790,840,960,1100,1200,1300,2000,2300,2300
,Aggregated,17422,0,130,339.64192752840495,6.5557999987504445,2307.452300003206,2756.3575938468603,72.567065535633,0.0,130,500,610,670,840,960,1100,1200,1500,2300,2300
