Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /inventory/{id},79,0,28,29.73897594946018,13.31180000124732,64.62070000270614,85.67088607594937,0.3490686304217255,0.0,28,34,38,42,51,61,65,65,65,65,65
GET,GET /orders,211,92,58000,32653.999529857912,7.862899998144712,60007.257299999765,5254.758293838862,0.9323225445441022,0.40651030378226255,58000,59000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,GET /products/{id},117,0,21,27.907647862799095,12.426900000718888,69.28719999996247,270.3247863247863,0.5169750602448339,0.0,21,32,38,44,53,61,66,67,69,69,69
POST,POST /orders,388,188,30000,31730.06143943311,54.55690000235336,60000.31000000308,266.7371134020619,1.7144130202991072,0.8306949685985365,30000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
,Aggregated,795,280,690,24159.58781534596,7.862899998144712,60007.257299999765,1573.137106918239,3.512779255509769,1.2372052723807991,690,59000,60000,60000,60000,60000,60000,60000,60000,60000,60000
